Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,033059,1917,11,150.5,Y
IDCJAC0001,033059,1917,12,307.8,Y
IDCJAC0001,033059,1918,01,2027.6,Y
IDCJAC0001,033059,1918,02,351.6,Y
IDCJAC0001,033059,1918,03,94.4,Y
IDCJAC0001,033059,1918,04,172.7,Y
IDCJAC0001,033059,1918,05,63.0,Y
IDCJAC0001,033059,1918,06,0.0,Y
IDCJAC0001,033059,1918,07,13.8,Y
IDCJAC0001,033059,1918,08,21.8,Y
IDCJAC0001,033059,1918,09,26.2,Y
IDCJAC0001,033059,1918,10,0.0,Y
IDCJAC0001,033059,1918,11,103.5,Y
IDCJAC0001,033059,1918,12,20.6,Y
IDCJAC0001,033059,1919,01,290.3,Y
IDCJAC0001,033059,1919,02,246.4,Y
IDCJAC0001,033059,1919,03,113.5,Y
IDCJAC0001,033059,1919,04,358.8,Y
IDCJAC0001,033059,1919,05,167.6,Y
IDCJAC0001,033059,1919,06,118.9,Y
IDCJAC0001,033059,1919,07,5.1,Y
IDCJAC0001,033059,1919,08,8.4,Y
IDCJAC0001,033059,1919,09,2.0,Y
IDCJAC0001,033059,1919,10,6.1,Y
IDCJAC0001,033059,1919,11,51.3,Y
IDCJAC0001,033059,1919,12,20.6,Y
IDCJAC0001,033059,1920,01,415.2,Y
IDCJAC0001,033059,1920,02,46.2,Y
IDCJAC0001,033059,1920,03,108.6,Y
IDCJAC0001,033059,1920,04,150.9,Y
IDCJAC0001,033059,1920,05,148.7,Y
IDCJAC0001,033059,1920,06,47.0,Y
IDCJAC0001,033059,1920,07,23.9,Y
IDCJAC0001,033059,1920,08,69.1,Y
IDCJAC0001,033059,1920,09,28.3,Y
IDCJAC0001,033059,1920,10,106.3,Y
IDCJAC0001,033059,1920,11,102.2,Y
IDCJAC0001,033059,1920,12,77.2,Y
IDCJAC0001,033059,1921,01,218.0,Y
IDCJAC0001,033059,1921,02,233.1,Y
IDCJAC0001,033059,1921,03,631.2,Y
IDCJAC0001,033059,1921,04,27.2,Y
IDCJAC0001,033059,1921,05,187.3,Y
IDCJAC0001,033059,1921,06,278.4,Y
IDCJAC0001,033059,1921,07,5.3,Y
IDCJAC0001,033059,1921,08,15.2,Y
IDCJAC0001,033059,1921,09,164.6,Y
IDCJAC0001,033059,1921,10,31.0,Y
IDCJAC0001,033059,1921,11,28.2,Y
IDCJAC0001,033059,1921,12,411.8,Y
IDCJAC0001,033059,1922,01,54.1,Y
IDCJAC0001,033059,1922,02,109.5,Y
IDCJAC0001,033059,1922,03,47.3,Y
IDCJAC0001,033059,1922,04,159.8,Y
IDCJAC0001,033059,1922,05,28.4,Y
IDCJAC0001,033059,1922,06,6.0,Y
IDCJAC0001,033059,1922,07,143.4,Y
IDCJAC0001,033059,1922,08,0.0,Y
IDCJAC0001,033059,1922,09,11.7,Y
IDCJAC0001,033059,1922,10,39.9,Y
IDCJAC0001,033059,1922,11,89.4,Y
IDCJAC0001,033059,1922,12,247.2,Y
IDCJAC0001,033059,1923,01,223.9,Y
IDCJAC0001,033059,1923,02,54.8,Y
IDCJAC0001,033059,1923,03,20.5,Y
IDCJAC0001,033059,1923,04,98.5,Y
IDCJAC0001,033059,1923,05,0.0,Y
IDCJAC0001,033059,1923,06,99.5,Y
IDCJAC0001,033059,1923,07,18.3,Y
IDCJAC0001,033059,1923,08,20.1,Y
IDCJAC0001,033059,1923,09,0.0,Y
IDCJAC0001,033059,1923,10,3.5,Y
IDCJAC0001,033059,1923,11,16.2,Y
IDCJAC0001,033059,1923,12,184.2,Y
IDCJAC0001,033059,1924,01,25.9,Y
IDCJAC0001,033059,1924,02,471.9,Y
IDCJAC0001,033059,1924,03,60.2,Y
IDCJAC0001,033059,1924,04,152.6,Y
IDCJAC0001,033059,1924,05,39.2,Y
IDCJAC0001,033059,1924,06,42.4,Y
IDCJAC0001,033059,1924,07,7.6,Y
IDCJAC0001,033059,1924,08,16.5,Y
IDCJAC0001,033059,1924,09,16.5,Y
IDCJAC0001,033059,1924,10,59.3,Y
IDCJAC0001,033059,1924,11,121.2,Y
IDCJAC0001,033059,1924,12,170.7,Y
IDCJAC0001,033059,1925,01,154.9,Y
IDCJAC0001,033059,1925,02,389.3,Y
IDCJAC0001,033059,1925,03,208.3,Y
IDCJAC0001,033059,1925,04,38.1,Y
IDCJAC0001,033059,1925,05,33.0,Y
IDCJAC0001,033059,1925,06,56.7,Y
IDCJAC0001,033059,1925,07,0.0,Y
