Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,044021,1951,11,23.7,Y
IDCJAC0001,044021,1951,12,37.9,Y
IDCJAC0001,044021,1952,01,58.6,Y
IDCJAC0001,044021,1952,02,112.4,Y
IDCJAC0001,044021,1952,03,100.1,Y
IDCJAC0001,044021,1952,04,38.8,Y
IDCJAC0001,044021,1952,05,75.7,Y
IDCJAC0001,044021,1952,06,12.5,Y
IDCJAC0001,044021,1952,07,14.1,Y
IDCJAC0001,044021,1952,08,29.7,Y
IDCJAC0001,044021,1952,09,3.3,Y
IDCJAC0001,044021,1952,10,88.5,Y
IDCJAC0001,044021,1952,11,12.2,Y
IDCJAC0001,044021,1952,12,14.3,Y
IDCJAC0001,044021,1953,01,129.7,Y
IDCJAC0001,044021,1953,02,97.0,Y
IDCJAC0001,044021,1953,03,4.2,Y
IDCJAC0001,044021,1953,04,106.5,Y
IDCJAC0001,044021,1953,05,9.9,Y
IDCJAC0001,044021,1953,06,0.0,Y
IDCJAC0001,044021,1953,07,8.6,Y
IDCJAC0001,044021,1953,08,21.8,Y
IDCJAC0001,044021,1953,09,0.0,Y
IDCJAC0001,044021,1953,10,91.4,Y
IDCJAC0001,044021,1953,11,11.4,Y
IDCJAC0001,044021,1953,12,0.8,Y
IDCJAC0001,044021,1954,01,235.0,Y
IDCJAC0001,044021,1954,02,102.1,Y
IDCJAC0001,044021,1954,03,0.0,Y
IDCJAC0001,044021,1954,04,29.8,Y
IDCJAC0001,044021,1954,05,0.0,Y
IDCJAC0001,044021,1954,06,41.0,Y
IDCJAC0001,044021,1954,07,62.0,Y
IDCJAC0001,044021,1954,08,34.6,Y
IDCJAC0001,044021,1954,09,32.4,Y
IDCJAC0001,044021,1954,10,181.9,Y
IDCJAC0001,044021,1954,11,21.9,Y
IDCJAC0001,044021,1954,12,18.8,Y
IDCJAC0001,044021,1955,01,171.2,Y
IDCJAC0001,044021,1955,02,166.4,Y
IDCJAC0001,044021,1955,03,103.5,Y
IDCJAC0001,044021,1955,04,121.8,Y
IDCJAC0001,044021,1955,05,64.0,Y
IDCJAC0001,044021,1955,06,6.4,Y
IDCJAC0001,044021,1955,07,41.0,Y
IDCJAC0001,044021,1955,08,24.5,Y
IDCJAC0001,044021,1955,09,0.3,Y
IDCJAC0001,044021,1955,10,51.8,Y
IDCJAC0001,044021,1955,11,26.1,Y
IDCJAC0001,044021,1955,12,40.9,Y
IDCJAC0001,044021,1956,01,59.2,Y
IDCJAC0001,044021,1956,02,164.9,Y
IDCJAC0001,044021,1956,03,307.2,Y
IDCJAC0001,044021,1956,04,41.1,Y
IDCJAC0001,044021,1956,05,31.3,Y
IDCJAC0001,044021,1956,06,37.7,Y
IDCJAC0001,044021,1956,07,55.0,Y
IDCJAC0001,044021,1956,08,3.8,Y
IDCJAC0001,044021,1956,09,14.8,Y
IDCJAC0001,044021,1956,10,12.7,Y
IDCJAC0001,044021,1956,11,24.5,Y
IDCJAC0001,044021,1956,12,65.8,Y
IDCJAC0001,044021,1957,01,22.7,Y
IDCJAC0001,044021,1957,02,71.2,Y
IDCJAC0001,044021,1957,03,62.5,Y
IDCJAC0001,044021,1957,04,63.8,Y
IDCJAC0001,044021,1957,05,10.2,Y
IDCJAC0001,044021,1957,06,55.9,Y
IDCJAC0001,044021,1957,07,5.7,Y
IDCJAC0001,044021,1957,08,4.9,Y
IDCJAC0001,044021,1957,09,0.0,Y
IDCJAC0001,044021,1957,10,3.3,Y
IDCJAC0001,044021,1957,11,23.9,Y
IDCJAC0001,044021,1957,12,53.0,Y
IDCJAC0001,044021,1958,01,77.1,Y
IDCJAC0001,044021,1958,02,38.7,Y
IDCJAC0001,044021,1958,03,9.0,Y
IDCJAC0001,044021,1958,04,18.4,Y
IDCJAC0001,044021,1958,05,20.0,Y
IDCJAC0001,044021,1958,06,48.1,Y
IDCJAC0001,044021,1958,07,9.6,Y
IDCJAC0001,044021,1958,08,6.1,Y
IDCJAC0001,044021,1958,09,7.1,Y
IDCJAC0001,044021,1958,10,19.1,Y
IDCJAC0001,044021,1958,11,39.4,Y
IDCJAC0001,044021,1958,12,50.4,Y
IDCJAC0001,044021,1959,01,55.8,Y
IDCJAC0001,044021,1959,02,70.2,Y
IDCJAC0001,044021,1959,03,99.7,Y
IDCJAC0001,044021,1959,04,34.2,Y
IDCJAC0001,044021,1959,05,31.9,Y
IDCJAC0001,044021,1959,06,0.0,Y
IDCJAC0001,044021,1959,07,27.8,Y
IDCJAC0001,044021,1959,08,2.8,Y
IDCJAC0001,044021,1959,09,7.9,Y
IDCJAC0001,044021,1959,10,30.3,Y
IDCJAC0001,044021,1959,11,2.8,Y
IDCJAC0001,044021,1959,12,142.1,Y
IDCJAC0001,044021,1960,01,32.3,Y
IDCJAC0001,044021,1960,02,135.2,Y
IDCJAC0001,044021,1960,03,14.5,Y
IDCJAC0001,044021,1960,04,44.9,Y
IDCJAC0001,044021,1960,05,63.3,Y
IDCJAC0001,044021,1960,06,20.6,Y
IDCJAC0001,044021,1960,07,39.8,Y
IDCJAC0001,044021,1960,08,18.5,Y
IDCJAC0001,044021,1960,09,4.8,Y
IDCJAC0001,044021,1960,10,11.7,Y
IDCJAC0001,044021,1960,11,32.7,Y
IDCJAC0001,044021,1960,12,78.9,Y
IDCJAC0001,044021,1961,01,75.9,Y
IDCJAC0001,044021,1961,02,53.8,Y
IDCJAC0001,044021,1961,03,59.4,Y
IDCJAC0001,044021,1961,04,59.2,Y
IDCJAC0001,044021,1961,05,15.7,Y
IDCJAC0001,044021,1961,06,3.6,Y
IDCJAC0001,044021,1961,07,29.0,Y
IDCJAC0001,044021,1961,08,1.8,Y
IDCJAC0001,044021,1961,09,0.5,Y
IDCJAC0001,044021,1961,10,68.2,Y
IDCJAC0001,044021,1961,11,115.0,Y
IDCJAC0001,044021,1961,12,55.9,Y
IDCJAC0001,044021,1962,01,220.3,Y
IDCJAC0001,044021,1962,02,43.8,Y
IDCJAC0001,044021,1962,03,143.3,Y
IDCJAC0001,044021,1962,04,22.3,Y
IDCJAC0001,044021,1962,05,4.1,Y
IDCJAC0001,044021,1962,06,18.6,Y
IDCJAC0001,044021,1962,07,16.5,Y
IDCJAC0001,044021,1962,08,8.9,Y
IDCJAC0001,044021,1962,09,9.6,Y
IDCJAC0001,044021,1962,10,53.2,Y
IDCJAC0001,044021,1962,11,4.5,Y
IDCJAC0001,044021,1962,12,79.8,Y
IDCJAC0001,044021,1963,01,154.4,Y
IDCJAC0001,044021,1963,02,31.7,Y
IDCJAC0001,044021,1963,03,283.9,Y
IDCJAC0001,044021,1963,04,21.4,Y
IDCJAC0001,044021,1963,05,59.6,Y
